Review,Sentiment,Sentiment Score,Main Issue,Issue Score
"Nice paperback size and feel, great for following the score while listening to the masterpiece. Much better than using a",Positive,0.99,Product Quality Issue,0.476
Lasted about 18 months before the screen went out. Looks like its the power supply and this TV is headed to the trash. W,Negative,0.982,Performance Issue,0.322
"Unfortunately, I had not read the Customer's review before purchasing the book. I think maybe Patricia got fed up with t",Negative,0.987,Product Quality Issue,0.256
"I liked Forza 2 and thought it was fun, but the game began to get old quick. With that I went and bought Dirt and dangit",Positive,0.976,Product Quality Issue,0.276
"+ 5 stars for content- Formatting on Kindle is not goodWhen viewing last page of poem, the title of next poem is seen on",Negative,0.96,Product Quality Issue,0.509
All three tracks on this disc are beautiful works. I thoroughly enjoyed them all. The other reviews have covered this in,Positive,0.592,Product Quality Issue,0.431
"I got really excited when i bought this book, but when i received it i got really disappointed of my purchase, i thought",Negative,0.967,Product Quality Issue,0.257
LOVE THE GIRL ON REGIS BUT DO YOU THINK MAYBE ONCE SHE CAN REVIEW A GOOD BOOK... THIS IS BORING BORING BORING..,Negative,0.987,Performance Issue,0.359
"What a piece of junk! Aluminum what? Frame, that's about it. The table top is wafer fiber and the littlest amount of wei",Negative,0.985,Product Quality Issue,0.378
I don't understand how anyone at a notable publishing firm could read this and think it is a good novel. It reads like a,Negative,0.979,Performance Issue,0.214
I have only had my KRZR for a month now but I love this phone. I am able to get a signal in once dead areas and the batt,Positive,0.989,Product Quality Issue,0.358
"I was really interested to see this film based on the really positive reviews from earlier viewers. However, I was as di",Negative,0.983,Delivery Problem,0.488
"While the authors are well known, their background is not in the sciences or in engineering - a prerequisite to speak in",Positive,0.682,Performance Issue,0.229
"If you are looking for an intelligent,hilarious film, this is the one. Steve Bucemi is his regular quirky self and Thora",Positive,0.987,Pricing Issue,0.344
"This is an absolute waste of money, the first one ripped on the first run. Then I had an exchange, and the second one ri",Negative,0.987,Product Quality Issue,0.418
I bought this because of rave reviews and a good concept. I wish I could send it back to Bodum and ask them what were th,Negative,0.987,Product Quality Issue,0.548
"When I'm looking for a new book to read, I alwaysread the Amazon reviews. Even the not-so-great reviewsfor this book wer",Positive,0.982,Pricing Issue,0.215
Troy Alleyn is commissioned to paint a portrait of the great actor Sir Henry Ancred. Though thanks to journalist/friend ,Positive,0.975,Pricing Issue,0.23
We saw this movie over a year ago. My husband said he would like it for his DVD collection and I waited until it came do,Negative,0.837,Pricing Issue,0.647
"It is entertaining for a b movie, however towards the end a guardian evil bull was in the movie with a two foot full sha",Negative,0.621,Performance Issue,0.317
Fun historic adventure tale with great character development that make Follett's stories my favorite. Was a bit disappoi,Positive,0.99,Product Quality Issue,0.277
"Every book I have read by Chriatopher Penczak is consistently well researched, easy to follow, entertaining and detailed",Positive,0.99,Pricing Issue,0.207
"I was waiting and waiting...for so long, to be insulted and to be treated with much disrespect...and I kept praying that",Positive,0.81,Delivery Problem,0.217
"Tim O'Brien's storytelling style is intoxicating. He examines what it means to tell a story, and what the telling of sto",Positive,0.989,Pricing Issue,0.207
"The idea of a 3 piece Halloween tombstone at this height seemed like a good one as it would be easy to store. However, i",Negative,0.985,Pricing Issue,0.318
"I just came over here to look for a new book, and I happened to see the advertisement for this watch. I have it, and I L",Positive,0.99,Delivery Problem,0.218
I am not pleased with the product - even with the color chart and following directions was unable to get the color to ma,Negative,0.982,Product Quality Issue,0.533
U3 works on some machines and not others. The support from Sandisk is canned and didn't help. The expectation seems to b,Negative,0.986,Customer Service Issue,0.433
"I just unpacked the crib to be sure that all the parts were accounted for. For the people who already have this crib, I ",Negative,0.956,Performance Issue,0.237
"I may have gotten a bad copy, but the sound quality on this release is horrible - about the same as a scratchy record.",Negative,0.984,Product Quality Issue,0.607
I highly recommend this book to whoever wants to have solid understanding of TCP/IP.It covers even advanced topics with ,Positive,0.991,Battery Issue,0.202
Lil Zane jumped in and off the charts faster than a speeding bullet. This album isn't bad if you like young rappers.,Positive,0.984,Product Quality Issue,0.311
"....eh. i usually enjoy Woody (Manhattan, Hannah and her Sisters, Manhattan Murder Mystery, Mighty Aphrodite), but Allen",Positive,0.95,Performance Issue,0.363
"Rock has written a great review of this ""toy."" I have collected many of these HP figures; one of the wands actually brok",Positive,0.863,Delivery Problem,0.276
This product did not work at all....and I gave it as a gift. so I am not very happy with it and don't really know what t,Negative,0.987,Product Quality Issue,0.364
Mason Proffit joins Buffalo Springfeild in testifying to the new document that taught us all we need to do more. More fo,Negative,0.608,Performance Issue,0.273
This Item is terrible. All the utensils are cheap and very poorly made. Very flimsy and easily broken. The holder itself,Negative,0.987,Product Quality Issue,0.557
"I like the popper. It is convenient, and very easy to use. Popcorn was completed in 3 to 4 minutes. And, easy to clean u",Positive,0.989,Product Quality Issue,0.323
Robinson gives a detailed account of the United States position concerning foriegn affairs where Latin America and other,Positive,0.99,Battery Issue,0.23
This dvd is a treasure to discover! Approach it with an open mind and eagerness to explore the fascinating history of th,Positive,0.987,Performance Issue,0.22
For waiting 25 years it could have been a bit better. It was good to see the old characters and missed the ones no longe,Positive,0.954,Performance Issue,0.3
I have a problem with this clock in that the second hand freezes at the 1 or 2 second mark and loses synch with the minu,Negative,0.98,Customer Service Issue,0.311
Chris has been my favorite Idol contestant so far. I was really looking forward to see what kind of music he would produ,Positive,0.983,Product Quality Issue,0.244
"This book reads like an extended prose poem - very lyrical and beautiful, at times surreal, and not plot-driven. The wee",Positive,0.974,Performance Issue,0.251
I found Bishop Foster's book while searching Las Vegas wedding sites. Her unique frame of reference of her many weddings,Positive,0.99,Performance Issue,0.263
The only problem I have with these is that when they arrived at my house I noticed two little scratches on the frames. Y,Positive,0.94,Delivery Problem,0.539
This product is pretty flimsy. Our dog knocks it down on an regular basis. The feet also don't seem to want to stay on t,Negative,0.966,Product Quality Issue,0.694
"I bought this 2 years ago thinking my son (2years)will get to play with three toys in 1. Well,its been sitting in the ga",Negative,0.664,Performance Issue,0.341
"If you would like to try some piano music. Do not get this one.This CD is not emotional, not rhythmic, not insipiring, a",Negative,0.982,Product Quality Issue,0.456
I saw this movie for the first time when it was in theaters. Younger movie fans will find it can't compare with modern f,Positive,0.979,Performance Issue,0.231
Mr Lund has done an almost superhuman job of doing the research necessary to make this novel believable. I was most impr,Positive,0.987,Performance Issue,0.286
I regret the day I bought this book. I wish I knew where the author lives to get a refund. I am very dissappointed with ,Negative,0.983,Product Quality Issue,0.314
"I was happy with this at first but after about 2 months of use (making a single cappuchino every morning for myself), it",Negative,0.985,Performance Issue,0.451
"As a former Carbon County resident who is familiar with all the people mentioned in this book, I know the author did a s",Positive,0.991,Performance Issue,0.23
Like others here I bought the 5 piece set on the gold box deal. What junk. These are made in China knives that can be ha,Negative,0.98,Product Quality Issue,0.375
Machine Gun Etiquette hasn't left my turntable since I bought it a week ago and is well on it's way to becoming an all-t,Positive,0.981,Product Quality Issue,0.259
I would have rated this machine 5 stars if it had come with popcorn but it doesn't so it gets 4 stars. This machine is s,Positive,0.989,Product Quality Issue,0.391
..THE CARDS ARE NICE BUT NOT AS THICK AS THEY USED TO BE WHEN I WAS A KID....THE SKIPS ARE JUST ARROWS..AND IT SAYS +2 O,Positive,0.936,Performance Issue,0.221
I am a Nora Roberts fan. I have read almost all of her books. I was very disappointed in this book. The language was jus,Negative,0.987,Product Quality Issue,0.241
very poor quality musicquite offensivenot suitable for younger audiencenot entertaining at allunlike the great album by ,Negative,0.986,Product Quality Issue,0.393
"in case you're wondering, it's possible for a coffee maker to make coffee as tasty as from a filter and cone system. (Th",Positive,0.988,Pricing Issue,0.378
My father had a snake bite kit when I was a kid. He brought it home from his military days. I thought it was cool and re,Negative,0.984,Performance Issue,0.369
I purchased this book and seriously regret it. Compared to Demay's text this book is worthless except for its stats info,Negative,0.985,Product Quality Issue,0.32
"Emotions guide actions, by establishing a channel for emotions to flow, ""Raising More Money"" developed a procedural meth",Positive,0.931,Performance Issue,0.334
"Peter Drucker is simply one of the very best of all time. The Effective Executive, albeit over 40 years old, still appli",Positive,0.99,Performance Issue,0.257
Superb book on the problems leading to infertility and what can be done to resolve these. The section on Male Infertilit,Positive,0.988,Pricing Issue,0.303
"I gave up on this high price transmitter in favor of the Griffin 40-30 RoadTrip, too much static, does not charge the it",Negative,0.88,Performance Issue,0.632
"It feels great to be responsible when it comes to being ""green"" but Seventh Generation really makes it easy when they ha",Positive,0.986,Product Quality Issue,0.251
"This book is nothing less than brilliant! I see this wonderful, ethereal quality--harkening to the Romantic era. Wrights",Positive,0.991,Performance Issue,0.246
I have been a classically trained drummer for over 10 years and just recently got into the hand drumming. I have Never f,Positive,0.992,Performance Issue,0.261
Kensington put out a nice sound for a smaller portable unit. Very light unit and the batteries (rechargeable) hold up we,Positive,0.989,Battery Issue,0.245
Marcia Adams Heartland is a beautfully done cookbook.Ihave all her books and watch her tv shows.Irecommend it to any one,Positive,0.808,Product Quality Issue,0.312
My five year old daughter and I simply loved this book. We giggled through the whole thing. I came to Amazon to buy some,Positive,0.986,Battery Issue,0.216
"i got this board to match my knife set. great quality, heavy, thick cutting board. i love it. nice well to collect juice",Positive,0.987,Product Quality Issue,0.395
This stereo install dash kit did not fit in my 2007 Chevy pickup truck as advertised and did not include wiring.False ad,Negative,0.983,Product Quality Issue,0.331
Wow Could not get over how weak the coffee came out.tried and tried to get some flavor out of it. NOT possible.Even trie,Negative,0.984,Performance Issue,0.348
It's not so much that I dislike the thing itself more than that I simply don't feel like spending the current price of 8,Negative,0.961,Pricing Issue,0.698
I ordered this for my son who is in college (storage space is an issue). It might be that he just did not take proper ca,Negative,0.981,Product Quality Issue,0.37
"Tarot of the Trance, by Eva Marie Nitsche, is one of the most beautiful decks in my collection. I liked the the Mexican ",Positive,0.987,Product Quality Issue,0.224
I have borrowed both this title and his Smart Couples Finish Rich from the library. Because I believe this book is so ti,Positive,0.992,Performance Issue,0.271
"Having read the book and gotten the sound track a while back, thought it was time to watch the movie. It was a nice tour",Positive,0.931,Product Quality Issue,0.211
"From the time my kids were small, we've read this book outloud almost every Christmas Eve - a great story of knowing tha",Positive,0.989,Performance Issue,0.222
"What a masterpiece! Disney has done it again! There are so many wonderful moments in this film! The ""Creeper"" steals the",Positive,0.99,Performance Issue,0.239
Raising Hell: A Concise History of the Black Arts and Those Who Dared Practice Them by Robert Masello is an concise but ,Positive,0.985,Product Quality Issue,0.23
"this record kicks so hard and the live record is even more intimate, the live dvd is so good and the visuals are amazing",Positive,0.99,Performance Issue,0.271
"I bought these ear phones for working out for two simple reasons: They are cheap. They have the rubber, sound-isolation ",Positive,0.986,Pricing Issue,0.438
I saw these guys per chance during this tour. They played Horde for some unknown reason. With all the hype that surround,Positive,0.751,Performance Issue,0.372
"The Angel Records re-issues of the ""Rodgers and Hammerstein Three Pack"" are terribly presented. The sound quality is hor",Negative,0.902,Product Quality Issue,0.555
First time I heard Yusef Lateefwas when I stumble upon hisEastern Sound cd. Just blew meaway. He had other soloistson th,Positive,0.989,Product Quality Issue,0.257
"""Paul and Michelle"",the sequel to ""Friends"" is set 3 years after the lovers last saw each other. Paul goes to find Miche",Negative,0.973,Product Quality Issue,0.317
"This was exactly what I wanted. It is cute, light weight, and you can hear GREAT! I'd recommend this to everyone!",Positive,0.99,Product Quality Issue,0.244
this product did not work fot me.i installed them and fill them with grease and could not get the grease gun off of the ,Negative,0.986,Product Quality Issue,0.492
"Being a lover of Stanley Kubricks' movies, I saw ""Lolita"" for the first time about a year ago and absolutely loved it!Th",Positive,0.989,Product Quality Issue,0.221
"Even though the album is okay, they are not original. They tried unsuccessfully to duplicate Bone Thugs N Harmony's uniq",Negative,0.953,Performance Issue,0.281
This is an excellent collection of articles on the construction of sexuality across cultures. No similar book exists so ,Positive,0.991,Battery Issue,0.2
This movie starts out funny but towards the movie the storyline gets pretty old. Its definitaly not a classic or a good ,Negative,0.986,Product Quality Issue,0.308
The Smart Strip is an excellent product. I saved money the first month. Well worth the investment.,Positive,0.992,Product Quality Issue,0.338
There are definitely better key rings out there if you just want to use it as a key ring. It is difficult to use this pr,Negative,0.985,Performance Issue,0.424
"Red Rodney's ""1957"" is a great album but it is the exact same material as is on the Savoy CD ""Fiery"" (see my review). I ",Negative,0.739,Product Quality Issue,0.422
"The only good songs on Load were Bleeding me and Until it Sleeps, but wow. There are NO good songs on this cd. Save your",Negative,0.982,Product Quality Issue,0.442
"A friend lent me Anastacia's first CD years ago and I was amazed by her voice. On a recent trip to Europe, I found this ",Positive,0.989,Product Quality Issue,0.249
kc's problems and solutions comes in PDF file format on a cd-rom that comes with the corresponding text. this is pretty ,Negative,0.984,Battery Issue,0.207
This awesome young man caught my attention on the Ally McBeal show and continues to live up to his talent in this CD. Hi,Positive,0.991,Performance Issue,0.341
"Gerard's name is spelled incorrectly, his birthday is wrong and apparently he started art school eleven years before he ",Negative,0.969,Performance Issue,0.234
I have previously used a Tom-Tom 910 in Europe and in the US. The screen on the Garmin is easier to read in all light. L,Positive,0.969,Pricing Issue,0.229
"Doesn't look like Liberty Mountain has any quality control on this. 2 of the three aluminum panels were cut correctly, a",Negative,0.963,Product Quality Issue,0.725
"When I saw Rent Filmed Live On Broadway, I'd already seen Rent twice actually live on Broadway, and I'd seen the movie t",Positive,0.988,Performance Issue,0.277
"I read the author's book, What Great Teachers Do Differently, years ago and found myself both motivated and inspired. I ",Negative,0.982,Delivery Problem,0.276
"I will be fifty years old on February 17, 2004, if the Lord allows. This book is interesting, inspiring and worth the mo",Positive,0.991,Battery Issue,0.198
"When I put this product on my ears, my ears get stuffed up like I'm on an airplane. Plus, I don't understand the noise c",Negative,0.975,Pricing Issue,0.303
... After only two years my Pro Heat Bissell's water pump just stopped pumping the water/cleaner solution. I would expec,Negative,0.972,Performance Issue,0.374
a bit cumbersome to store due to shape of handle. Also feels somewhat unbalanced. Heavier than most spatulas. Pointed ti,Negative,0.791,Performance Issue,0.337
Revamped my backyard and used these as an edging to one side of a designated public access area. Very nice! They were a ,Positive,0.989,Product Quality Issue,0.271
"Wonderful music. We heard some of these on the radio and had to search a little to find this, but it's worth it.",Positive,0.99,Performance Issue,0.238
"This is a wolf in sheep's clothing. It passes itself as ""God's way"", but it is the way of devil. It has nothing to do wi",Negative,0.96,Delivery Problem,0.282
I don't know if this review is for the Junkets or for the seller. These tablets do not work for me. I have tried with di,Negative,0.987,Customer Service Issue,0.267
"The Epilouge says enough in its title ""Its your last chance Stupid Jews'. This book is not worth the paper its written o",Negative,0.948,Performance Issue,0.265
The seller was great received the package within a few days. Manikin looks like the pic there's several grey hairs throu,Negative,0.947,Delivery Problem,0.29
"Stroller arrived with front axle assembly so loose that ball bearings fell out. Instructions are minimal, pictures are t",Negative,0.857,Product Quality Issue,0.328
I love rebelde you should her it is a spanish cd I love a lot!!!! I love RBD I love them I love Diego The boys are all H,Positive,0.991,Performance Issue,0.291
"great cinderella story, mixed between muppets and people, so many funny lines that you pick up on once you watch the mov",Positive,0.991,Delivery Problem,0.219
"The HP Deskjet 6620 is a great little printer (actually it is not that LITTLE, it is quite wide)for the price. Speedy! A",Positive,0.984,Pricing Issue,0.406
"I've listened to this CD many, many times. I can honestly say that, as a long time fan of The Sons of The Pioneers, it i",Positive,0.991,Performance Issue,0.404
Rewarded my daughter with stickers and she loved it actually bought another. It actually made her want to use the potty ,Positive,0.981,Performance Issue,0.243
Well this is the second release off the super sexy Shania Twain's multiplatinum album UP! And this is a great single. Th,Positive,0.99,Performance Issue,0.276
"Ten of these were ordered for an school art contest. They are the ""Classic"" Etch-A-Sketch as stated in the item descript",Positive,0.982,Product Quality Issue,0.294
Kitchen Aids are one of the best mixers you can buy - but initially when you purchase one you only get one bowl. This ex,Positive,0.989,Product Quality Issue,0.221
"We've only used it a few times, but this mixer seems to perform well. The lowest speed is slow enough so you can work yo",Positive,0.985,Product Quality Issue,0.257
This is NOT the item you will get when you order form them.You will instead receive New Chapter BLENDED Tamanu and Olive,Negative,0.982,Delivery Problem,0.374
I bought this product to help my nails after wearing artificial nails for years. I put a coat on every day for a week an,Positive,0.986,Delivery Problem,0.21
It's been 2 years since the release of the double platinum selling Evolution cd and once again Martina proves she's wort,Positive,0.99,Pricing Issue,0.249
"What was advertized was a 10 page digital document of over 2700 words. What was delivered was a 360 word blurb, nothing ",Negative,0.935,Delivery Problem,0.561
this is the worst movie i have ever seen! i turned it off it was so bad! i got it at wal-mart in like their $3 bin or so,Negative,0.987,Pricing Issue,0.353
Another terrible release. Nothing new from the other DVDs. All the moves are similar to what she has already taught.,Negative,0.986,Product Quality Issue,0.42
I loved this pot. I made soups and roast in it weekly. It was my favorite pot to cook in. Then one day while I was cooki,Negative,0.957,Product Quality Issue,0.591
I got this hoping it would be good. I only used it 3 times and it just stopped working and I don't know what to do.,Negative,0.981,Product Quality Issue,0.284
"I thought that theStila Illuminating Liquid Foundation, 10 Watts, 1 Ouncewould be better for me than my off-the-shelf fo",Positive,0.936,Delivery Problem,0.603
Great job on mixing many of the beatles hits. Love to listen to this while I am driving. Seems to have a great deal of e,Positive,0.991,Performance Issue,0.257
"The sheets are listed as fleece but they are paper thin and make flannel look big and fluffy. The ""backside"" is a dreadf",Negative,0.985,Product Quality Issue,0.678
"I don't even need to write a review on it...It's all been said here...The worst Movie I've ever seen in my life, and tha",Negative,0.98,Product Quality Issue,0.228
Love Sandra Brown and this is no exception. I also love audiobooks because I can listen to the books and get a lot of wo,Positive,0.991,Product Quality Issue,0.408
I like it!I don't have 13 words to say & I don't see why its mandatory to have a lot to say about MY purchases ~ either ,Positive,0.984,Customer Service Issue,0.221
This movie was horrible! Total inappropriate language throughout. I can't believe this is classified as a kids movie. I ,Negative,0.987,Product Quality Issue,0.32
"Toss in a healthy dose of Leonard Cohen poetics, a touch of David Byrne, and a splash of Rocky Horror Picture Show, and ",Positive,0.987,Product Quality Issue,0.445
"Never been a dewalt fan, too many compromises and cut corners in quality. BUT if you can get this for about $60 brand ne",Negative,0.588,Pricing Issue,0.388
"a beautiful book to read and share w friends and loved one. i read this book at least twice a year from cover to cover, ",Positive,0.991,Battery Issue,0.2
"First, people should be aaware this title from Italy plays fine in the US in the original English language audio and is ",Positive,0.98,Performance Issue,0.304
DO NOT BUY THIS GARBAGE. I am a big fan of the Far Cry games but this movie is crap. Plus the only way they are gonna ma,Negative,0.986,Product Quality Issue,0.34
This product is remarkable. Discovered my need for it while typing a document on an airplane and I realized the sensitiv,Positive,0.981,Performance Issue,0.285
"I absolutely love KV. I have read 10 or so of his books and love them all.For a while, Mother Night was my favorite but ",Positive,0.989,Pricing Issue,0.214
"High energy, toe tapping music. A must have for the Celtic music lover.I love listening to Solas and the lead singer.Her",Positive,0.991,Performance Issue,0.291
"This product works great as long as people notice the light blinking, rather than being oblivious to it.",Positive,0.969,Product Quality Issue,0.376
This is an excellent mouse. The shape is great and I love the Forward and Back buttons that you can push with your thumb,Positive,0.989,Battery Issue,0.293
This is definitely not a software to reinforce math. It is more interactive play trying to figure out what Mia should do,Negative,0.812,Delivery Problem,0.222
This film is disappointing. The narration is distracting and tedious. What there is of the individual stories is interes,Negative,0.988,Product Quality Issue,0.253
"the antenna has the same reception power than a $20.00 (Radio Shack) antenna that I have before, but now the reception i",Positive,0.573,Pricing Issue,0.345
I purchased this product over a year ago and saw results within two weeks! You must follow the instructions. Apply a cut,Positive,0.929,Customer Service Issue,0.21
"I was sick of waiting for the expansion to WoW and had heard some good things about FFXI. The graphics were descent, but",Negative,0.957,Product Quality Issue,0.255
Would have been great but film continued to freeze. Got tired of restarting. Gave up! My kind of movie so maybe will try,Negative,0.976,Performance Issue,0.316
"I liked the movie ""Sphere"" which was based on the wonderful novel by Mr. Michael Crichton. It is about a group of scient",Positive,0.777,Performance Issue,0.243
We bought this item to clean our expensive pots. It did not do a thing. Not sure of return policy but this product does ,Negative,0.987,Performance Issue,0.425
I got these specifically for polishing off blackening on jewelry I make. They didn't shred as badly as regular steel woo,Positive,0.928,Product Quality Issue,0.285
Ever used an A-to-D? Ever programmed in assembly language? Yeah? BING! You're well past the audience this book is writte,Positive,0.967,Pricing Issue,0.237
I HAD EXPECTED MORE ABOUT SPIRITUALITIY FROM THIS WORK BUT WAS VERY DISSAPOINTED TO READ MORE FAR OUT VIEWS ON THE AUTHO,Negative,0.971,Performance Issue,0.245
It's really too bad that the editors of this viedo were more interested in the crowd and circa 1990 Bon Jovi camera angl,Negative,0.867,Product Quality Issue,0.302
I used this machine almost daily for two years. My only complaint is the steam wand's detachable cover that promotes gun,Negative,0.923,Product Quality Issue,0.237
"All my girls ages 2, 7, and 10, love this disc. They also like music by ""real"" recording artists but this is really fun ",Positive,0.985,Product Quality Issue,0.337
Received movie in good condition and enjoyed this unique film which has quality actors. Blake Robbins was especially con,Positive,0.99,Product Quality Issue,0.635
This rack is barely usable to hang mugs on. The pegs are wobbly and loose and the whole frame is flimsy. As I tried to h,Negative,0.985,Product Quality Issue,0.351
I watched this because there was nothing else to watch. Nothing was ever resolved in the movie and it was really wierd.,Negative,0.982,Performance Issue,0.321
"For the price, what can you expect? It's a poor-quality, made in China product. The colours are a little off (the blue i",Negative,0.986,Pricing Issue,0.386
I have all Tim Wilson's CDs and may I say this one is the only one that has ever been a disappointment.,Negative,0.954,Performance Issue,0.223
"Hanson has been so fortunate about their long awaited success. Interviews, radio shows, and specials on entertainment sh",Negative,0.893,Delivery Problem,0.257
Do not buy this printer if you plan to print transparencies. I bought it to print a lot of transparencies. In your hand ,Negative,0.987,Delivery Problem,0.374
"The paper is fine, but the spiral binding is of poor quality. The front and back cover of the book fell off in the first",Negative,0.986,Product Quality Issue,0.724
I was distracted by mistakes and typos. Book is only good for die-hard fans who collect EVERY piece of GWTW memorabilia.,Negative,0.98,Product Quality Issue,0.375
This is not the Steve Harris from Iron Maiden!!!!! I notice people have bought products to do with Iron Maiden have also,Negative,0.963,Product Quality Issue,0.272
I purchased a few of these cables because they were so cheap and it's always handy to have a couple of these hdmi cables,Negative,0.985,Pricing Issue,0.402
"When a movie panders to the star's appeal in one useless elongated opening shower scene, you should know what to expect ",Negative,0.96,Performance Issue,0.252
I ran it for three summers total - bought expensive tanks of propane (about 3 per summer) and the replacement attractant,Negative,0.693,Pricing Issue,0.316
"I found The Three Musketeers to be perhaps the greatest novel I've ever read! Porthos, Athos, Aramis, and d'Artagnan are",Positive,0.987,Performance Issue,0.32
Kids loved this movie. We had never seen it before and they were thrilled with being able to watch it!,Positive,0.989,Product Quality Issue,0.423
Unable to watch a message says unable to stream but I was charged like I seen the movie. I orders it three times,Negative,0.856,Pricing Issue,0.264
"Very nice power center, especially for the price! I needed something to protect my new home theater system, because my o",Positive,0.986,Pricing Issue,0.335
I would have to say this is a very cute tiger and my shipping was quick. He does have a soulful look about him and very ,Positive,0.988,Delivery Problem,0.252
"I've been doing this tape for about 2 weeks...it gives a suprising good strength workout using the toning cords. Also, y",Positive,0.99,Product Quality Issue,0.334
I can't say enough bad about this book. Fortunately I only paid $1.00 for it at a used book store. A silly story written,Negative,0.98,Product Quality Issue,0.315
Este libro es muy malo ya que no contiene ningun ritual verdadero para la buena suerte cuando lo lei senti deceos de tir,Positive,0.975,Product Quality Issue,0.311
Weller 18 a 60s obsessed mod teen takes speed sees the Pistols live and combines his love for soul and R&B with the fire,Positive,0.99,Performance Issue,0.276
This book is a rare example of excellant background material and real world examples. The author's understanding of the ,Negative,0.529,Delivery Problem,0.238
"The standards being excellent! This is a warm, witty, and charming example of mystery writing. Quill is no hard boil 40'",Positive,0.989,Product Quality Issue,0.593
I think that this product would be great if it wasn't so poorly made. As soon as I took it out of the box it was broken.,Negative,0.986,Product Quality Issue,0.465
"during the reformation, the great schism ignited by martin luther between roman catholicism and the new protestantism of",Negative,0.922,Performance Issue,0.287
"We ordered this kit for a beginner at stamp collecting. We expected the album to be free-form, so he could save the stam",Negative,0.977,Delivery Problem,0.296
"This is seriously the best book on movies I've ever read. With a few exceptions--""White Zombie,"" ""Murder by Television""-",Positive,0.976,Product Quality Issue,0.304
"Great movie, but one of the BEST lines from the theatre and VHS version of Last of the Mohicans is: ""Do not try to under",Negative,0.97,Product Quality Issue,0.503
It's been 3 years since Charlie Chan films were knocked off the Fox Movie channel thanks to the meddling of the P.C. spe,Positive,0.953,Performance Issue,0.255
I've heard such great things about this phone and was really looking forward to trying it out. Unfortunately the phone w,Negative,0.984,Delivery Problem,0.302
"One star - for the fabulous cast which was ridiculously under-utilized, one - for the fact that I was able to finish wat",Negative,0.954,Performance Issue,0.27
If it was possible to rate this film at zero I would. It's that bad.Usually I can find a redeeming quality in a film... ,Negative,0.975,Performance Issue,0.224
what could have been an interesting and intellectual combination of styles turns out to be a bit of a disappointment. ha,Negative,0.972,Product Quality Issue,0.232
only the Khazar elite converted to the Jewish faith there are plenty of archeological expeditions that have uncovered bu,Positive,0.937,Performance Issue,0.227
"I really wasn't going to review this book, but on a whim was browsing the other reviews when I came upon the 'Ah Jeez...",Negative,0.86,Performance Issue,0.259
"This book is ultra-rare, so if you can get a copy, keep it. I stole mine from the public library. The book visits some o",Positive,0.99,Pricing Issue,0.233
Some serious problem with the lamp. Probably the worst thing I have purchased on Amazon.1. several days after normal use,Negative,0.987,Delivery Problem,0.321
"THE NUTRITIONAL LABEL IS ""VAGUE/MISLEADING"" ; 6 pieces = 860mg SALT/SODIUM= ""OUTRAGIOUS/UNACCEPTABLE"" TOTALLY MEDEVIAL ;",Negative,0.972,Delivery Problem,0.372
"great lil saw BUT Milwaukee 18 V NiCads suck!!! buy this bare bones and add Lith Ions, u will be happier.......",Positive,0.968,Battery Issue,0.28
So good to know I have these for later. Love the system! I highly recommend it for single people. No need to make a lot ,Positive,0.991,Product Quality Issue,0.256
What a great CD! Completely takes the work out of putting together your own ceremony CD. We aren't having live musicians,Positive,0.99,Product Quality Issue,0.316
"Nice source of recipes, I enjoyed the writer's style as well as the recipes. Ever try to eat your way through a cookbook",Positive,0.991,Product Quality Issue,0.309
This camera is great. UPS delivered it today and I have been bowled over by all the features that I didn't know it had. ,Positive,0.982,Battery Issue,0.36
"i have read everything , from sydney sheldon to ken follet but i must bow down to the MASTER.Its a tragedy this great wr",Positive,0.961,Performance Issue,0.343
"Con la colaboracion de Warner Latina, este cd+dvd promocional del canal HTV por lo menos en el cd trae una buena selecci",Positive,0.972,Product Quality Issue,0.486
"Very comfortable for camping and plenty of room for my wife, myself, and our infant son. We just bought a very large (16",Positive,0.961,Product Quality Issue,0.215
"For a newbie, this CD is a great way to ease into the world of Phish. While Junta is a better example of what Phish is r",Positive,0.989,Product Quality Issue,0.44
This is an excellent compilation of the original Get Smart series! Brought back many memories! An excellent value for th,Positive,0.992,Product Quality Issue,0.24
The rods the shoes sit on are metal while the frame is plastic. It fits five pairs of women's heels and sandals or four ,Negative,0.963,Performance Issue,0.248
The AT&T 436 had a short-circuit after 3 months of use. It brought our phone line to its knees. It took a Verizon techni,Negative,0.878,Customer Service Issue,0.334
This is another great and also alot to learn from. Love these old shows.You will love it. Great quality on this VHS and ,Positive,0.991,Product Quality Issue,0.293
"My sonicare battery was running low, so I bought this because of the low price. Don't waste your money, it's much much w",Negative,0.98,Pricing Issue,0.297
This is worst product I've ever purchased. First they claim they will send you a rebate which I've never got and it's be,Negative,0.987,Product Quality Issue,0.327
When I made the order it was for global use. But the product you shipped was specifically for Asia. Why did you send suc,Negative,0.979,Customer Service Issue,0.314
I bought this book in order to gain a better understanding of Deconstructive theory. I was open to the comic book format,Negative,0.978,Product Quality Issue,0.248
"This silverware is amazing, way better than that plastic crap those greasy trailer park boys use. Can't go wrong getting",Positive,0.989,Product Quality Issue,0.426
"Like other reviewers, I thought the organization and look of the book was spot on. But, and it's a big but, the finished",Negative,0.961,Product Quality Issue,0.498
Not having been familiar with the production ( or the related album ); but looking forward to a collection of John Denve,Negative,0.98,Product Quality Issue,0.36
